N ,L1,,Sicherung,mm^2,L2,,Sicherung,mm^2,L3,,Sicherung,mm^2
6,neu Raum 1 Gross,#VALUE!,10AB ,"1,5",neu Raum 2 klein,#VALUE!,10AB ,"1,5",Entwicklung 003,#VALUE!,10AB ,"1,5"
6,3,#VALUE!,10AB ,"1,5",Entwicklung 003,#VALUE!,10AB ,"1,5",Entwicklung 003,#VALUE!,10AB ,"1,5"
6,Buero PAC,#VALUE!,10AB ,"1,5",Personal 012,#VALUE!,10AB ,"1,5",Personal 022,#VALUE!,10AB ,"1,5"
6,Buero 002,#VALUE!,10AB ,"1,5",Buero 002,#VALUE!,10AB ,"1,5",Buero 002,#VALUE!,10AB ,"1,5"
6,Buero 002,#VALUE!,10AB ,"1,5",Entwicklung 002,#VALUE!,10AB ,"1,5",Perosnal 016,#VALUE!,10AB ,"1,5"
6,Buero 001,#VALUE!,10AB ,"1,5",Besprechung 005,#VALUE!,10AB ,"1,5","WC-Herren 008,010",#VALUE!,10AB ,"1,5"
6,"WC-Damen 007,009,015",#VALUE!,10AB ,"1,5",Treppenhaus 006,#VALUE!,10AB ,"1,5",Treppenhaus Verbindungsgang,0,10AB ,"1,5"
6,"Buero 003,002",0,10AB ,"1,5",Steigeschacht,#VALUE!,10AB ,"1,5",Verbindungsgang 308-302,#VALUE!,10AB ,"1,5"
6,Buero 003 AE,#VALUE!,16AB,"2,5",Buero 003 AE,#VALUE!,16AB,"2,5",Buero 003,#VALUE!,16AB,"2,5"
6,"Buero 012,014",#VALUE!,16AB,"2,5","Buero 002,011",#VALUE!,16AB,"2,5","Buero 002,009 AE",#VALUE!,16AB,"2,5"
6,"Buero 002,016 AE",#VALUE!,16AB,"2,5",Buero 003 AE,#VALUE!,16AB,"2,5",Buero 003 AE,0,16AB,"2,5"
6,"Buero 003,005 AE",0,AB16,"2,5",Buero 003 AE,0,16AB,"2,5","Buero 003 AE ,002",0,16AB,"2,5"
6,Putzsteckdose 006,#VALUE!,16AB,"2,5","Putzsteckdose 003,014",#VALUE!,16AB,"2,5","Putzsteckdose 001,002,011,012,016",#VALUE!,16AB,"2,5"
6,E-308-1.OG-01-45,#VALUE!,16AB,"2,5",Reserve,#VALUE!,16AB,"2,5","Puzsteckdose 003,005",#VALUE!,16AB,"2,5"
6,Res. Steckdose,#VALUE!,16AB,"2,5",Notlicht ueber Fahrstuhl,#VALUE!,16AB,"2,5",Res.,-1F63,16AB,"2,5"
6,Res.,-1F64,16AB,"2,5",Res.,-1F65,16AB,"2,5",Res,-1F66,16AB,"2,5"
6,steckdose 1 2 3,#VALUE!,16AB,"2,5",steckdose 1 2 3,#VALUE!,16AB,"2,5",steckdose 1 2 3,#VALUE!,16AB,"2,5"
6,"WC-H WC-D Worr.-H,D . Rumi",#VALUE!,16AB,"2,5",Urinale WC-H,#VALUE!,16AB,"2,5",Teekueche,#VALUE!,16AB,"2,5"
6,Geschirrspueler Teekueche,#VALUE!,16AB,"2,5",Teekueche,#VALUE!,16AB,"2,5",Reserve,#VALUE!,16AB,"2,5"
6,Herdanschluss,#VALUE!,16AB,"2,5",Herdanschluss,#VALUE!,16AB,"2,5",Herdanschluss,#VALUE!,16AB,"2,5"
6,Teekueche,#VALUE!,16AB,"2,5",Geschirrspueler Teekueche,#VALUE!,16AB,"2,5",Teekueche,#VALUE!,16AB,"2,5"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
7,ENG 003,0,10 AB ,"1,5",ENG 003,#VALUE!,10 AB ,"1,5",ENG 003,#VALUE!,10 AB ,"1,5"
7,Taster ,0,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
7,ENG 003,#VALUE!,10 AB ,"1,5",ENG 003,#VALUE!,10 AB ,"1,5",ENG 003,#VALUE!,10 AB ,"1,5"
7,Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
7,ENG 003,#VALUE!,10 AB ,"1,5",ENG 002,#VALUE!,10 AB ,"1,5",ENG 002,#VALUE!,10 AB ,"1,5"
7,Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
7,ENG 002,#VALUE!,10 AB ,"1,5",ENG 002,#VALUE!,10 AB ,"1,5",ENG 002,#VALUE!,10 AB ,"1,5"
7,Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
7,ENG 002,#VALUE!,10 AB ,"1,5","WC-H 006, 010 Pumi ",#VALUE!,10 AB ,"1,5","WC-D, Vorr. WC-D 015 Pumi 011,007 009 ",#VALUE!,10 AB ,"1,5"
7,Taster ,#VALUE!,10 AB ,"1,5",Notbel. 006,#VALUE!,10 AB ,"1,5","Notbel. 003, 002",#VALUE!,10 AB ,"1,5"
7,ENG 002,#VALUE!,10 AB ,"1,5",Büro 003 AE,#VALUE!,10 AB ,"1,5",Büro 003 AE,0,10 AB ,"1,5"
7,Taster ,#VALUE!,10 AB ,"1,5",Büro 003 AE ,#VALUE!,16 AB ,"2,5",Büro 002 AE,#VALUE!,16 AB ,"2,5"
7,"Büro 004, 005",#VALUE!,10 AB ,"1,5",Büro 002 AE ,-26023,16 AB ,"2,5",Büro 002 AE,#VALUE!,16 AB ,"2,5"
7,Treppenhaus,#VALUE!,10 AB ,"1,5",Büro 003 AE ,#VALUE!,16 AB ,"2,5",Büro 003 AE,#VALUE!,16 AB ,"2,5"
7,Taster,#VALUE!,10 AB ,"1,5",Büro 003 AE ,#VALUE!,16 AB ,"2,5",Büro 003 AE,#VALUE!,16 AB ,"2,5"
7,UV-018 Bel. Schacht ,#VALUE!,10 AB ,"1,5",Büro 002 ,#VALUE!,16 AB ,"2,5",Büro 002 ,#VALUE!,16 AB ,"2,5"
7,Büro 003 AE ,0,16 AB ,"2,5",Reserve,0,16 AB ,"2,5",Reserve,0,16 AB ,"2,5"
7,Büro 002 AE,#VALUE!,16 AB ,"2,5",Putzsteckdose 002,0,16 AB ,"2,5",Reserve ,#VALUE!,16 AB ,"2,5"
7,Büro 003 AE ,#VALUE!,16 AB ,"2,5","Putzsteckdose 004, 005",#VALUE!,16 AB ,"2,5",E-308-2.OG-01-45,#VALUE!,16 AB ,"2,5"
7,Büro 004 ,#VALUE!,16 AB ,"2,5",Küche || ,#VALUE!,16 AB ,"2,5",Küche || ,#VALUE!,16 AB ,"2,5"
7,Büro 003 AE,#VALUE!,16 AB ,"2,5",Küche | ,#VALUE!,16 AB ,"2,5",Reserve ,#VALUE!,16 AB ,"2,5"
7,Büro 002,#VALUE!,16 AB ,"2,5",Küche Nordwest,#VALUE!,16 AB ,"2,5",BR- Kanal unter Bildschirm,#VALUE!,16 AB ,"2,5"
7,Putzsteckdose 003,0,16 AB ,"2,5",Urinale WC-H,#VALUE!,16 AB ,"2,5",Reserve Büroküche,#VALUE!,16 AB ,"2,5"
7,Türantrieb Mitte Res,#VALUE!,16 AB ,"2,5",,,,,,,,
